GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_907: Median after-tax income of household in 2020 ($),v_CA21_906: Median total income of household in 2020 ($)
5350287.03,CT,0287.03,0.4842,2699,1236,1148,50800,54800
5350287.04,CT,0287.04,0.5939,4551,2059,1981,64000,72000
5350288.00,CT,0288.00,2.6307,11027,4955,4610,73500,83000
5350289.00,CT,0289.00,1.3017,4885,1921,1827,75500,86000
5350290.01,CT,0290.01,0.944,3748,1530,1446,61200,68000
5350290.02,CT,0290.02,0.3462,1652,797,756,67000,78000
5350291.02,CT,0291.02,1.1464,4881,2038,1930,62400,68000
5350291.03,CT,0291.03,0.4174,2721,1154,1103,67500,74500
5350291.04,CT,0291.04,0.5131,1572,685,649,62400,70500
5350292.00,CT,0292.00,3.7345,8580,2936,2790,72500,79000
5350293.00,CT,0293.00,2.0084,6808,2410,2326,86000,99000
5350294.01,CT,0294.01,0.8618,4177,1580,1527,69500,76500
5350294.02,CT,0294.02,1.0199,4449,1442,1387,82000,91000
5350295.00,CT,0295.00,1.0854,5481,2030,1953,72500,80000
5350296.00,CT,0296.00,4.6465,1744,689,653,91000,105000
5350297.01,CT,0297.01,1.1337,7239,3069,2925,76000,85000
5350297.02,CT,0297.02,1.5096,6646,2684,2547,84000,97000
5350298.00,CT,0298.00,2.2618,4561,1612,1532,104000,121000
5350299.01,CT,0299.01,2.8825,6289,2375,2237,102000,119000
5350299.02,CT,0299.02,0.1593,5130,3025,2786,68000,78500
5350300.01,CT,0300.01,0.1208,3850,2404,2141,61200,69500
5350300.02,CT,0300.02,0.2063,7505,4136,3889,75000,88000
5350300.03,CT,0300.03,0.7065,2448,1024,969,87000,102000
5350301.01,CT,0301.01,0.8978,2863,1085,1053,90000,104000
5350301.03,CT,0301.03,0.2736,8324,3779,3496,67500,77000
5350301.04,CT,0301.04,1.4262,8766,4256,3962,67000,76500
5350302.01,CT,0302.01,1.2292,6114,2409,2344,82000,93000
5350302.02,CT,0302.02,1.0839,5867,2068,1993,78500,87000
5350302.03,CT,0302.03,0.6939,3267,1187,1105,78500,86000
5350303.00,CT,0303.00,1.0633,6080,2470,2288,67500,75000
5350304.01,CT,0304.01,0.2493,4404,1619,1573,69000,75500
5350304.02,CT,0304.02,1.2122,4595,1884,1815,94000,111000
5350304.03,CT,0304.03,0.9843,2484,868,850,100000,116000
5350304.04,CT,0304.04,0.2344,3482,1412,1323,69000,76500
5350304.05,CT,0304.05,0.703,2686,1111,1069,78500,89000
5350304.06,CT,0304.06,0.7489,5725,2232,2168,75500,85000
5350305.01,CT,0305.01,2.4076,4421,1674,1599,111000,132000
5350305.03,CT,0305.03,0.7113,4766,2300,2126,74500,86000
5350305.05,CT,0305.05,0.3747,6580,3689,3431,65000,75500
5350305.06,CT,0305.06,0.6291,4366,2775,2452,61200,69000
5350306.01,CT,0306.01,1.1721,4612,1601,1508,85000,95000
5350306.02,CT,0306.02,1.1185,4686,1846,1722,89000,104000
5350307.03,CT,0307.03,0.1101,4957,2546,2336,62000,69000
5350307.04,CT,0307.04,0.153,6919,3889,3386,68000,79000
