GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households,"v_CA21_3: Population percentage change, 2016 to 2021"
5350260.04,CT,260.04,0.1881,3879,1499,1381,-6.5
5350260.05,CT,260.05,0.2543,4139,1387,1330,3
5350260.06,CT,260.06,0.9202,4354,1784,1647,30
5350260.07,CT,260.07,0.3446,3591,1530,1487,-2.2
5350261,CT,261,1.9129,5547,2301,2207,0.8
5350262.01,CT,262.01,0.6709,5848,2756,2648,2
5350262.02,CT,262.02,2.146,6252,2519,2422,-0.3
5350263.02,CT,263.02,1.9994,3873,1963,1864,11.6
5350263.03,CT,263.03,1.5561,4635,2192,2086,-5.5
5350263.04,CT,263.04,0.6751,6464,3614,3406,-1
5350264,CT,264,3.4299,1260,470,416,-3.2
5350265,CT,265,2.6642,5555,1889,1801,16.8
5350266,CT,266,2.7255,3094,1159,1085,-3.6
5350267,CT,267,2.7052,6042,2117,2036,-5.1
5350268,CT,268,3.0255,6458,2935,2824,0.6
5350269.01,CT,269.01,0.7469,5284,2360,2224,4.5
5350269.02,CT,269.02,1.754,2562,947,908,-0.3
5350270.01,CT,270.01,1.1233,4763,1965,1879,-4.4
5350270.02,CT,270.02,0.7566,4263,1632,1557,0
5350271.01,CT,271.01,0.8935,2394,906,879,-1.4
5350271.02,CT,271.02,0.7092,4724,1767,1711,-1.9
5350272.01,CT,272.01,0.4552,5945,2414,2318,-0.7
5350272.02,CT,272.02,0.9988,4623,1789,1726,-1.7
5350273.01,CT,273.01,3.1903,3703,1316,1245,-7.7
5350273.02,CT,273.02,1.2888,4032,1528,1461,-3.1
5350274.01,CT,274.01,1.5248,4712,1800,1690,-3.8
5350274.02,CT,274.02,1.3314,4558,2061,1946,-3.8
5350275,CT,275,1.9615,5567,2422,2295,-4.6
5350276.01,CT,276.01,1.2261,6317,2605,2488,-2
5350276.02,CT,276.02,1.2826,6567,2512,2355,-4.4
5350277,CT,277,1.0278,3925,1323,1199,-3.9
5350278,CT,278,1.3337,7734,2972,2787,0
5350279.01,CT,279.01,1.2144,4135,1668,1565,2.7
5350279.02,CT,279.02,1.5756,6140,2375,2260,-5.6
5350280,CT,280,2.1365,7217,3002,2875,-1.6
5350281.01,CT,281.01,0.9657,6403,2333,2227,-1.2
5350281.02,CT,281.02,0.4129,3921,1339,1295,-0.5
5350282,CT,282,2.2191,4588,1676,1587,2.4
5350283.01,CT,283.01,0.919,5153,1927,1846,-4.6
5350283.02,CT,283.02,1.1649,4390,1768,1676,-3.3
5350284,CT,284,1.4127,6762,2566,2407,-1.1
5350285,CT,285,1.1139,3278,1257,1196,0.2
5350286,CT,286,3.2442,6768,3230,3012,58.4
5350287.02,CT,287.02,1.058,6471,2392,2246,-3.9
5350287.03,CT,287.03,0.4842,2699,1236,1148,-21.4
5350287.04,CT,287.04,0.5939,4551,2059,1981,1.7
5350288,CT,288,2.6307,11027,4955,4610,10.6
5350289,CT,289,1.3017,4885,1921,1827,3.6
5350290.01,CT,290.01,0.944,3748,1530,1446,3.5
5350290.02,CT,290.02,0.3462,1652,797,756,7.7
5350291.02,CT,291.02,1.1464,4881,2038,1930,-1.3
5350291.03,CT,291.03,0.4174,2721,1154,1103,18.2
5350291.04,CT,291.04,0.5131,1572,685,649,-0.8
