GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_4818: Total - Generation status for the population in private households,v_CA21_4821: First generation,v_CA21_4824: Second generation,v_CA21_4827: Third generation or more,v_CA21_914: Income statistics for private households,v_CA21_917: Income statistics for one-person private households,v_CA21_920: Income statistics for two-or-more-persons private households,v_CA21_905: Income statistics for private households,"v_CA21_1: Population, 2021",v_CA21_6: Population density per square kilometre
5350131.00,CT,0131.00,1.0444,5258,2503,2330,5065,1550,1515,2000,2270,780,1490,2330,5258,5034.5
5350132.00,CT,0132.00,0.9246,5350,2127,2010,5140,2050,1275,1815,2000,525,1470,2010,5350,5786.3
5350133.00,CT,0133.00,0.6675,7082,3441,3237,7155,3675,1695,1785,3250,1270,1975,3235,7082,10609.7
5350134.00,CT,0134.00,0.417,2911,1070,1020,2870,765,830,1275,1040,155,880,1020,2911,6980.8
5350135.00,CT,0135.00,0.7162,6782,3909,3431,6710,2775,1850,2090,3470,1605,1865,3435,6782,9469.4
5350136.01,CT,0136.01,0.192,7267,4719,4263,7765,4400,1630,1730,4535,2400,2135,4265,7267,37849
5350136.02,CT,0136.02,0.2101,8740,6747,5167,8120,5015,1650,1460,4895,2540,2360,5170,8740,41599.2
5350137.00,CT,0137.00,0.9142,6916,3639,3373,6910,2750,1885,2280,3370,1410,1960,3370,6916,7565.1
5350138.00,CT,0138.00,0.9655,3010,1218,1134,2975,820,820,1335,1140,285,850,1135,3010,3117.6
5350139.01,CT,0139.01,0.7736,4316,2091,1965,4355,1505,1115,1730,1960,735,1220,1965,4316,5579.1
5350139.02,CT,0139.02,0.5095,2440,945,887,2495,605,670,1215,865,190,680,885,2440,4789
5350140.00,CT,0140.00,0.572,2341,835,781,2270,575,605,1095,785,120,665,780,2341,4092.7
5350141.01,CT,0141.01,0.5504,4493,1734,1663,4660,1430,1310,1925,1705,400,1305,1665,4493,8163.2
5350141.02,CT,0141.02,0.6876,4653,1687,1621,4540,1125,1360,2060,1570,255,1315,1620,4653,6767
5350142.00,CT,0142.00,1.0439,5589,2316,2176,5475,1665,1615,2195,2185,615,1575,2175,5589,5354
5350150.00,CT,0150.00,1.071,4210,1659,1589,4165,1055,1305,1805,1580,350,1230,1590,4210,3930.9
5350151.00,CT,0151.00,0.6388,3756,1580,1518,3795,1615,1325,860,1530,460,1065,1515,3756,5879.8
5350152.00,CT,0152.00,0.8517,4653,1847,1784,4435,1095,1330,2000,1750,365,1385,1785,4653,5463.2
5350153.00,CT,0153.00,0.9311,4460,1761,1675,4525,2130,1450,940,1665,370,1295,1675,4460,4790
5350154.00,CT,0154.00,2.0905,6192,2905,2769,6130,2970,1905,1250,2780,1005,1775,2765,6192,2962
5350155.00,CT,0155.00,0.8071,3080,1317,1240,2955,1575,1005,375,1180,375,805,1240,3080,3816.1
5350156.01,CT,0156.01,0.6031,5700,2373,2288,5830,3680,1690,455,2335,820,1515,2285,5700,9451.2
5350156.02,CT,0156.02,0.5874,2810,1120,1063,2805,1425,840,535,1070,300,770,1060,2810,4783.8
5350157.00,CT,0157.00,0.4606,2716,1117,1036,2675,1495,850,335,1005,220,785,1035,2716,5896.7
5350158.00,CT,0158.00,0.6353,3036,1421,1322,3085,1900,890,295,1350,535,820,1320,3036,4778.8
5350159.01,CT,0159.01,0.4925,3506,1403,1272,3380,2020,1035,325,1210,260,950,1275,3506,7118.8
5350159.02,CT,0159.02,0.5785,4865,1899,1787,4925,2765,1490,670,1815,415,1405,1785,4865,8409.7
5350160.00,CT,0160.00,0.7312,3152,1235,1154,3190,1835,1050,315,1135,200,935,1155,3152,4310.7
5350161.00,CT,0161.00,0.8113,6885,2723,2556,6820,3810,2070,945,2575,590,1990,2555,6885,8486.4
5350162.00,CT,0162.00,0.5757,4846,2081,1908,4810,2510,1430,870,1915,520,1395,1910,4846,8417.6
5350163.00,CT,0163.00,0.4542,4308,1909,1743,4245,1835,1300,1110,1740,495,1240,1740,4308,9484.8
5350164.00,CT,0164.00,0.6282,6002,2616,2423,6040,2690,1755,1590,2430,595,1840,2425,6002,9554.3
5350165.00,CT,0165.00,0.4849,4209,1999,1830,4305,1540,1200,1565,1850,585,1260,1830,4209,8680.1
5350166.00,CT,0166.00,0.786,4024,1733,1624,4085,1135,1110,1840,1645,515,1130,1625,4024,5119.6
5350167.01,CT,0167.01,0.1341,2446,1740,1540,2345,865,695,795,1565,960,605,1540,2446,18240.1
5350167.02,CT,0167.02,0.6014,5745,3257,2878,5455,2485,1385,1585,2845,1335,1510,2880,5745,9552.7
5350168.00,CT,0168.00,0.5655,5674,2836,2565,5620,3165,1405,1055,2555,1055,1505,2565,5674,10033.6
5350169.01,CT,0169.01,0.3781,3587,1571,1422,3535,2180,880,470,1390,360,1025,1425,3587,9486.9
